Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
200,Luke Kornet,BOS,25,2,0,2,5,3,1,1,100,0,0,0,1,2,50,0,3,3,0,0,0,0,0,6.6,0,0,1
202,Brandon Clarke,MEM,24,2,0,2,9,2,1,2,50,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6.2,0,0,8
202,Cassius Winston,WAS,23,1,0,1,5,2,1,3,33.3,0,1,0,0,0,0,1,1,2,1,2,0,0,1,3.9,0,0,-2
202,Isaiah Joe,PHI,21,4,4,0,9,2,1,3,33.3,0,2,0,0,0,0,0,0,0,1,0,0,0,2,3.5,0,0,-6
202,Keljin Blevins,POR,25,2,1,1,4,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-2
202,Kevin Knox II,NYK,21,1,0,1,4,2,0,0,0,0,0,0,2,2,100,0,1,1,1,0,0,1,0,7.7,0,0,9
202,Langston Galloway,PHX,29,2,2,0,15,2,1,7,14.3,0,2,0,0,1,0,0,2,2,1,0,0,1,1,8.9,0,0,-5
202,Nathan Knight,ATL,23,3,1,2,9,2,1,4,25,0,2,0,0,2,0,0,3,3,0,0,0,2,2,11.6,0,0,-9
202,Skylar Mays,ATL,23,4,1,3,12,2,1,2,50,0,0,0,0,0,0,0,1,1,1,1,2,0,0,9.7,0,0,-2
202,Xavier Tillman,MEM,22,3,1,2,18,2,1,5,20,0,1,0,0,0,0,1,2,3,1,1,1,0,2,9.1,0,0,-14
202,Yogi Ferrell,LAC,28,7,7,0,10,2,1,2,50,0,1,0,0,0,0,0,3,3,2,0,0,0,0,8.6,0,0,4
212,Elfrid Payton,NYK,27,2,1,1,13,1,0,5,0,0,0,0,1,2,50,0,0,0,1,0,1,0,1,5.5,0,0,-9
212,Jarrell Brantley,UTA,25,2,1,1,3,1,0,1,0,0,0,0,1,2,50,0,1,1,0,1,0,0,0,1.2,0,0,-3
212,Rayjon Tucker,PHI,23,1,1,0,2,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,1,1,0,0,-2
212,Semi Ojeleye,BOS,26,2,0,2,12,1,0,4,0,0,3,0,1,2,50,0,0,0,0,0,1,1,0,7,0,0,-5
212,Trey Burke,DAL,28,2,0,2,17,1,0,7,0,0,3,0,1,2,50,1,0,1,1,0,0,0,1,3.7,0,0,-18
217,Abdel Nader,PHX,27,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2.4,0,0,-4
217,Alfonzo McKinnie,LAL,28,2,0,2,12,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,0
217,Anthony Gill,WAS,28,4,1,3,33,0,0,3,0,0,1,0,0,0,0,1,3,4,0,3,0,0,7,1.8,0,0,-16
217,Anthony Tolliver,PHI,36,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
217,Bol Bol,DEN,21,3,1,2,6,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,4.2,0,0,0
217,CJ Elleby,POR,21,2,1,1,8,0,0,1,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,4.1,0,0,1
217,Frank Ntilikina,NYK,22,3,0,3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Harry Giles III,POR,23,1,0,1,4,0,0,1,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0.6,0,0,2
217,Isaac Bonga,WAS,21,4,1,3,10,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2
217,Jared Dudley,LAL,35,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
217,Jay Scrubb,LAC,20,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2
217,John Konchar,MEM,25,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.2,0,0,4
217,Josh Green,DAL,20,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
217,Justise Winslow,MEM,25,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,4
217,Juwan Morgan,UTA,24,2,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,3.9,0,0,-8
217,KZ Okpala,MIA,22,2,0,2,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Matt Thomas,UTA,26,3,1,2,7,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-7
217,Max Strus,MIA,25,2,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Miye Oni,UTA,23,8,4,4,41,0,0,5,0,0,5,0,0,0,0,3,0,3,0,0,1,0,8,6.6,0,0,-15
217,Nicolo Melli,DAL,30,3,2,1,19,0,0,4,0,0,2,0,0,0,0,2,4,6,0,0,1,0,3,10.2,0,0,-17
217,Tacko Fall,BOS,25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,1
217,Udoka Azubuike,UTA,21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,1
