Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
89,P.J. Tucker,MIL,36,14,10,4,396,56,21,56,37.5,11,36,30.6,3,4,75,30,37,67,15,5,14,3,49,204.9,0,0,98
89,Robert Covington,POR,30,6,2,4,228,56,18,36,50,11,22,50,9,10,90,9,38,47,7,8,9,6,20,159.9,2,0,28
95,Rajon Rondo,LAC,35,13,7,6,220,55,18,53,34,11,28,39.3,8,12,66.7,4,30,34,50,14,5,3,18,180.8,0,0,-27
96,Dario Saric,PHX,27,11,9,2,126,54,18,38,47.4,6,14,42.9,12,12,100,7,23,30,12,5,2,1,18,112,0,0,18
96,De'Andre Hunter,ATL,23,5,4,1,152,54,18,45,40,6,16,37.5,12,16,75,2,18,20,3,7,1,3,11,87.5,0,0,34
96,JaMychal Green,DEN,31,10,4,6,190,54,20,45,44.4,6,20,30,8,9,88.9,17,35,52,11,3,2,2,12,141.9,1,0,0
99,Shake Milton,PHI,24,12,7,5,121,52,15,47,31.9,8,19,42.1,14,15,93.3,0,9,9,9,11,3,1,18,77.3,0,0,-15
99,Tristan Thompson,BOS,30,5,1,4,132,52,20,34,58.8,0,0,0,12,17,70.6,29,20,49,5,5,4,6,12,143.3,2,0,-87
101,Landry Shamet,BKN,24,12,7,5,206,50,18,41,43.9,10,26,38.5,4,5,80,3,18,21,7,6,5,1,19,97.7,0,0,7
102,Jeff Green,BKN,34,6,3,3,148,49,16,33,48.5,10,18,55.6,7,8,87.5,4,13,17,10,3,3,2,14,96.4,0,0,16
102,Will Barton,DEN,30,3,0,3,83,49,19,43,44.2,7,21,33.3,4,4,100,1,12,13,8,4,2,1,4,81.6,0,0,0
104,Boban Marjanovic,DAL,32,4,1,3,83,47,20,39,51.3,0,0,0,7,9,77.8,14,18,32,4,4,0,1,13,90.4,1,0,-2
105,Andre Drummond,LAL,27,5,2,3,105,45,19,32,59.4,0,0,0,7,10,70,19,36,55,0,11,4,3,12,121,1,0,-4
106,Reggie Bullock,NYK,30,5,1,4,162,44,15,39,38.5,10,29,34.5,4,5,80,5,12,17,6,4,3,1,11,81.4,0,0,-35
107,Kyle Anderson,MEM,27,5,1,4,142,42,18,42,42.9,3,12,25,3,4,75,4,21,25,16,4,14,0,9,134,1,0,-19
107,Markus Howard,DEN,22,9,4,5,112,42,15,37,40.5,11,26,42.3,1,2,50,1,6,7,4,0,0,1,10,59.4,0,0,1
109,Duncan Robinson,MIA,27,4,0,4,100,41,11,29,37.9,10,27,37,9,10,90,0,11,11,3,4,3,0,13,63.7,0,0,-34
109,Kendrick Nunn,MIA,25,4,0,4,93,41,17,43,39.5,5,18,27.8,2,2,100,0,6,6,6,3,2,0,4,60.2,0,0,-41
111,Anfernee Simons,POR,22,6,2,4,107,39,14,25,56,11,18,61.1,0,0,0,3,13,16,5,1,2,1,6,73.7,0,0,-44
112,Kemba Walker,OKC,31,3,1,2,91,38,13,41,31.7,3,17,17.6,9,10,90,0,12,12,12,8,1,0,10,65.4,0,0,-54
112,Kyle Kuzma,LAL,25,6,2,4,129,38,14,48,29.2,4,23,17.4,6,9,66.7,4,19,23,7,6,2,1,8,79.1,0,0,-15
114,Davis Bertans,WAS,28,4,1,3,106,37,11,27,40.7,8,23,34.8,7,7,100,0,11,11,1,1,1,2,12,59.7,0,0,-34
114,Derrick Favors,UTA,29,11,6,5,145,37,16,23,69.6,0,0,0,5,9,55.6,19,27,46,3,6,2,10,25,126.7,1,0,-38
114,Maxi Kleber,DAL,29,7,3,4,187,37,12,30,40,8,20,40,5,7,71.4,5,20,25,10,1,3,0,19,90,0,0,-34
114,Robin Lopez,WAS,33,5,1,4,73,37,18,25,72,0,0,0,1,4,25,4,5,9,0,1,0,4,7,58.8,0,0,-32
114,Tyler Herro,MIA,21,4,0,4,93,37,12,38,31.6,6,19,31.6,7,7,100,1,12,13,7,3,1,1,2,66.1,0,0,-36
119,Romeo Langford,BOS,21,4,1,3,109,36,13,32,40.6,6,17,35.3,4,4,100,5,5,10,5,1,3,2,2,69.5,0,0,-2
120,Alex Caruso,LAL,27,6,2,4,121,35,14,38,36.8,5,17,29.4,2,2,100,2,6,8,3,7,1,4,12,57.1,0,0,-20
120,Georges Niang,UTA,28,11,6,5,129,35,11,39,28.2,9,30,30,4,4,100,2,17,19,8,8,0,1,19,64.8,0,0,-5
122,Ish Smith,WAS,32,5,1,4,111,34,16,43,37.2,2,7,28.6,0,0,0,1,15,16,14,5,7,2,11,96.2,0,0,-8
122,Jabari Parker,BOS,26,4,0,4,59,34,13,21,61.9,2,5,40,6,8,75,2,13,15,2,6,0,3,7,58,0,0,16
